ID,gender,group,time,neg,pos
151,1,0,4,2.4,3.16667
152,0,0,1,2.27105,4.89206
152,0,0,2,1.79407,3.01895
152,0,0,3,1.46667,4.52667
152,0,0,4,1.93333,4.58333
153,0,1,1,1.43142,3.57773
153,0,1,2,1.60499,4.47438
153,0,1,3,2.33333,4.94333
153,0,1,4,2.61415,4.02371
154,1,0,1,2.32299,2.12555
154,1,0,2,1.8594,2.27681
154,1,0,3,1.60035,3.25256
154,1,0,4,1.45289,3.31458
155,1,1,1,3.34195,4.06903
155,1,1,2,3.45571,4.99735
155,1,1,3,2.73333,4.36
155,1,1,4,2.61662,3.797
156,0,1,1,3.48054,4.1084
156,0,1,2,2.51226,4.10709
156,0,1,3,1.79533,3.1086
156,0,1,4,1.13554,3.60489
157,0,1,1,3.10383,4.61357
157,0,1,2,2.21246,3.99085
157,0,1,3,1.4,4.61
157,0,1,4,2,4.16667
158,0,0,1,2.64317,4.45773
158,0,0,2,1.9007,3.38546
158,0,0,3,1.06667,4.36
158,0,0,4,1.33333,4
159,1,1,1,2.25648,3.75607
159,1,1,2,2.00565,3.26492
159,1,1,3,3.6,4.13778
159,1,1,4,2.2,4.58333
160,1,0,1,1.1201,4.61492
160,1,0,2,1.54397,4.53458
160,1,0,3,1.46667,4.27667
160,1,0,4,2.37681,4.5
161,0,0,1,3.17074,1.22678
161,0,0,2,3.60067,2.32736
161,0,0,3,3.13333,2.36
161,0,0,4,3.13333,2.75
162,1,1,1,3.72116,2.48172
162,1,1,2,1.91162,3.75171
162,1,1,3,1,3.86
162,1,1,4,1.53403,3.00921
163,1,1,1,4.08185,3.06217
163,1,1,2,3.52579,3.39406
163,1,1,3,2.61027,2.76391
163,1,1,4,2.8,4.58333
164,0,1,1,1.47996,3.6325
164,0,1,2,2.36069,3.4216
164,0,1,3,2.44741,3.42455
164,0,1,4,1.1639,4.13674
165,0,0,1,1.52399,4.80934
165,0,0,2,2.39269,4.31407
165,0,0,3,1.06667,4.44333
165,0,0,4,1.46667,4.08333
166,0,0,1,4.13138,2.08724
166,0,0,2,2.41537,2.59895
166,0,0,3,1.86667,3.02667
166,0,0,4,2.16667,1.91667
167,0,0,1,3.6448,4.22791
167,0,0,2,3.14887,1.91238
167,0,0,3,4,2.61
167,0,0,4,1.93333,2.91667
168,0,0,1,1.67813,3.63626
168,0,0,2,1.95199,2.7482
168,0,0,3,1.8,2.94333
168,0,0,4,1.8,4.16667
169,1,0,1,2.05376,3.05272
169,1,0,2,2.83205,3.97793
169,1,0,3,2.13333,4.27667
169,1,0,4,1.66667,4.5
170,0,0,1,2.4263,4.52173
170,0,0,2,2.46653,3.66418
170,0,0,3,1.13333,4.02667
170,0,0,4,1.2,4.08333
171,0,1,1,1.60665,2.50683
171,0,1,2,2.07514,2.94563
171,0,1,3,1.46667,3.69333
171,0,1,4,2.51411,4.27877
172,0,0,1,2.48126,4
172,0,0,2,1.93333,3.58514
172,0,0,3,2.79475,4.63871
172,0,0,4,2.07609,3.41689
173,0,0,1,1.78674,3.48231
173,0,0,2,1.04694,4.39749
173,0,0,3,1.6,4.02667
173,0,0,4,1.12161,4.78128
174,1,0,1,3.15823,3.83333
174,1,0,2,2.26667,4.06295
174,1,0,3,1.32928,3.26517
174,1,0,4,1.28916,4.57195
175,1,0,1,2.06667,2.75
